[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count,,,,
1,95.3,105.2,92.3,,,,
2,92.8,111,85.8,,,,
3,88.3,118.7,81.5,,,,
4,85.6,125.1,77.8,,,,
5,83,131.1,75.8,,,,
6,81.6,137.9,73.3,,,,
7,78.4,145.1,71.2,,,,
8,76,153.6,69.5,,,,
9,75.2,161.9,67.4,,,,
10,72.6,171.8,64.9,,,,
11,69,178.4,64.2,,,,
12,65.4,185.2,62.3,,,,
13,62.6,193.4,61.5,,,,
14,61,202.7,59.9,,,,
15,57.3,162,58.3,,,,
16,57.2,166.7,57.2,,,,
17,56.2,171.7,58,,,,
18,55.3,176.2,57.5,,,,
19,52.9,179.6,57.9,,,,
20,49.4,185.5,58.4,,,,
21,47.4,190.1,58,,,,
22,46,193.5,58.1,,,,
23,43.6,196.2,57.5,,,,
24,41.3,199,57,,,,
25,39.5,202.9,56.3,,,,
26,37.5,207.3,56.3,,,,
27,33.8,213.3,56.8,,,,
28,30.6,219,57.3,,,,
29,29.4,223.2,57.8,,,,
30,27.9,204,58.1,,,,
31,25.9,206.3,58.4,,,,
32,25.3,208.6,59.6,,,,
33,24.7,209.6,59.4,,,,
34,23,212.7,59.4,,,,
35,21.7,212.7,60,,,,
36,20.9,213.3,60.2,,,,
37,20.5,215.4,61.6,,,,
38,20.2,215.5,62.5,,,,
39,18.6,217.6,62.8,,,,
40,17.8,217.2,63.8,,,,
41,16.5,219.2,64.7,,,,
42,15.4,219.1,65.8,,,,
43,14.2,217.4,66.4,,,,
44,13.6,216.3,66.8,,,,
45,12.2,202.6,66.2,,,,
46,11.7,201.5,67.8,,,,
47,11,199.3,68.1,,,,
48,11.1,200.6,68.3,,,,
49,11.55555556,195.7777778,70.44444444,,,,
50,10.66666667,193.8888889,71.55555556,,,,
51,9.888888889,193.7777778,72.33333333,,,,
52,9.777777778,190.2222222,73.33333333,,,,
53,9.111111111,191.1111111,73.33333333,,,,
54,9.111111111,188.1111111,73.44444444,,,,
55,7.888888889,186.8888889,74.77777778,,,,
56,7.888888889,184.2222222,75.66666667,,,,
57,7.333333333,181.8888889,76.77777778,,,,
58,6.666666667,178.8888889,78.11111111,,,,
59,6.444444444,175.3333333,79.11111111,,,,
60,6.222222222,164.4444444,79.66666667,,,,
61,6,163,80.88888889,,,,
62,6.111111111,160.2222222,81.77777778,,,,
63,5.888888889,153.8888889,82.88888889,,,,
64,5.111111111,150.3333333,83.88888889,,,,
65,5.5,154.25,82.625,,,,
66,5.875,150.875,83,,,,
67,6.25,147.25,83.875,,,,
68,5.875,142.75,85,,,,
69,5.75,138.75,85.75,,,,
70,6.571428571,130.8571429,87.14285714,,,,
71,6.714285714,128.4285714,88.28571429,,,,
