[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count,,,,
1,48.4,104.7,48.6,,,,
2,46.5,110.8,47.6,,,,
3,44.2,117.1,47,,,,
4,41.8,122.3,46.2,,,,
5,41,128.8,46.8,,,,
6,40.3,135.2,46.1,,,,
7,39.1,142.5,45.9,,,,
8,38,149.3,46.4,,,,
9,38.1,157.2,45.4,,,,
10,35.9,164.7,45.2,,,,
11,33.3,172.8,45,,,,
12,33,181.3,45.1,,,,
13,31.5,190.3,44.8,,,,
14,29.4,200.3,45,,,,
15,27.8,137.8,45.3,,,,
16,26,141.2,45.4,,,,
17,25.3,145.4,45.4,,,,
18,24.2,147.6,45.5,,,,
19,24,150.7,45.3,,,,
20,23.1,152.5,45.1,,,,
21,22.3,156.8,46.3,,,,
22,21.2,157.8,47.8,,,,
23,20.5,159.3,48.4,,,,
24,20,161,49.4,,,,
25,19.7,160.8,49.9,,,,
26,19.4,160.6,50.5,,,,
27,18,161,50.5,,,,
28,16.8,164,50.6,,,,
29,16,163.8,51.1,,,,
30,16,144.4,52.5,,,,
31,15.8,145.2,53.2,,,,
32,15.5,144.1,53.5,,,,
33,14.9,145.5,54.3,,,,
34,14.8,146.3,55.3,,,,
35,15.2,146.7,55.6,,,,
36,14.1,143.2,55.8,,,,
37,13.5,142.9,55.9,,,,
38,13,141.9,56.5,,,,
39,12.3,141.6,56.4,,,,
40,11.3,142,58.1,,,,
41,9.6,141.1,58.6,,,,
42,9.6,139,58.3,,,,
43,9.3,134.7,59.5,,,,
44,8.7,131,60.5,,,,
45,8.6,124,61.6,,,,
46,8.6,123,62.2,,,,
47,8.6,121.6,63.2,,,,
48,8.3,118.8,64.3,,,,
49,7.8,117.1,64.6,,,,
50,8.3,115.4,65.5,,,,
51,7.9,114.4,66.2,,,,
52,7,113.9,67.3,,,,
53,6.8,111.4,67.8,,,,
54,6.5,109.1,68.9,,,,
55,6,107.5,69.5,,,,
56,6.1,107,69.4,,,,
57,5.8,105.9,69.6,,,,
58,5.7,103.9,69.9,,,,
59,5.8,102.6,70.8,,,,
60,6,97.7,71.5,,,,
61,5.2,94.9,71.7,,,,
62,5.1,91.8,71.9,,,,
63,4.9,89.6,72.7,,,,
64,4.7,86.6,73.7,,,,
65,4.9,83.8,74.8,,,,
66,5.1,80.9,75.9,,,,
