[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count,,
1,49.3,104.4,49.2,,
2,46.6,110.9,47.9,,
3,45.7,116.6,47.3,,
4,45,121.8,47.9,,
5,44.6,128.4,47.3,,
6,43.5,136,47.3,,
7,42.1,142.9,47,,
8,40.2,151,46.1,,
9,39.4,159.3,45.8,,
10,37.5,168,45.7,,
11,35.6,176.4,45.1,,
12,34,185.5,45.4,,
13,33,195.8,46.1,,
14,30.9,206.1,46.3,,
15,29.2,143.3,47.3,,
16,29.4,147.1,47.6,,
17,28.7,148.9,48.8,,
18,27.7,152.4,50.1,,
19,26.2,156.2,51.1,,
20,25.1,159.1,52.2,,
21,24.5,160.7,52.9,,
22,23.3,162.5,53.4,,
23,22.9,163.4,53.9,,
24,21.2,164.5,54.6,,
25,20.7,164.7,54.8,,
26,19.9,165.6,54.6,,
27,19.7,166.4,54.8,,
28,19.5,166.8,54.8,,
29,19,164.8,55.3,,
30,18.9,144,55.6,,
31,19.1,144.2,56.6,,
32,18.5,144.6,57.9,,
33,18.2,144.2,58,,
34,18,143.1,57.9,,
35,17.3,142.3,58.7,,
36,16.8,140.5,59.4,,
37,16.7,139.1,59.1,,
38,15.7,136.8,58.7,,
39,15.5,133.6,59.7,,
40,14.9,131.8,60.6,,
41,13.6,131,61.6,,
42,13.7,127.9,62.7,,
43,12.8,124.5,63.5,,
44,12.6,123,65,,
45,12.4,116.6,66.3,,
46,13.88888889,114.3333333,64.22222222,,
47,13.44444444,112.7777778,65,,
48,12.66666667,109.5555556,65.44444444,,
49,12.88888889,106.3333333,65.88888889,,
50,12.55555556,103.4444444,65.44444444,,
51,12.44444444,103,64.88888889,,
52,12.22222222,102.4444444,66.66666667,,
53,12.22222222,101.8888889,67.44444444,,
54,12.44444444,101.6666667,68,,
55,13.11111111,100,68.33333333,,
56,13,99,68.88888889,,
57,12.88888889,96.44444444,69.55555556,,
58,12.77777778,94,70.22222222,,
59,12.44444444,93.11111111,71.66666667,,
60,12.55555556,89.44444444,72.66666667,,
61,12.22222222,88,73.66666667,,
62,11.77777778,85.55555556,74.44444444,,
63,11.88888889,84.33333333,75.22222222,,
64,11.44444444,84.22222222,75.88888889,,
65,11.66666667,82.33333333,77.33333333,,
66,12.11111111,78.66666667,78,,
67,11.66666667,76.77777778,78.88888889,,
68,11.55555556,74.55555556,79.22222222,,
69,11.77777778,71.77777778,79.77777778,,
70,11.77777778,70,81.11111111,,
71,10.88888889,67.77777778,81.44444444,,
72,11,68,82.11111111,,
73,11.11111111,67.66666667,82.11111111,,
74,11.88888889,65.22222222,82.44444444,,
75,11.55555556,63.11111111,82.66666667,,
76,11.33333333,61.88888889,83.66666667,,
77,10.66666667,62.55555556,83.77777778,,
78,10.77777778,60.88888889,84.11111111,,
79,12,61.75,83.625,,
80,12.375,60.5,83.875,,
81,12.25,61.375,84.25,,
82,12.5,60.5,84.25,,
83,12.5,59.75,85.25,,
84,12,58.75,85.25,,
85,11.75,58.625,85.875,,
86,11.875,55.5,86.25,,
87,11.25,54.25,86.75,,
88,11.25,52.75,87.375,,
89,11.125,52.25,88,,
90,11.5,50.875,88.75,,
91,12,50.625,90.125,,
92,12.25,48.875,91.25,,
93,13,48.875,91.375,,
94,12.75,49.75,91.25,,
95,13.5,49.25,91.75,,
96,13,47.75,92.25,,
97,14,47.5,92.25,,
98,13.875,45.875,92.375,,
99,14.25,46.625,92.875,,
100,16.57142857,44,95.71428571,,
101,16.42857143,44.71428571,95.71428571,,
102,16.14285714,43.71428571,95.57142857,,
103,16.28571429,42.71428571,96,,
104,16.57142857,40.85714286,96.85714286,,
105,16.57142857,40.71428571,97.57142857,,
106,16.57142857,41.28571429,97.14285714,,
107,17.28571429,39.57142857,97,,
108,17.28571429,39,98,,
109,17.14285714,38,98.71428571,,
110,17.28571429,37.57142857,99.42857143,,
111,17.14285714,37.85714286,100.2857143,,
112,17.14285714,36.57142857,101.1428571,,
113,17.42857143,36.57142857,101.8571429,,
114,18,35.57142857,103.1428571,,
115,18,35.71428571,103.1428571,,
116,18.42857143,34,103.7142857,,
117,19.28571429,34.14285714,103.7142857,,
118,20.42857143,34.28571429,104.1428571,,
119,20.57142857,35.71428571,103.5714286,,
120,21.14285714,34,104.5714286,,
121,21.14285714,33.71428571,105,,
122,21.85714286,34.28571429,105.8571429,,
123,22,33.85714286,106.5714286,,
124,22.85714286,33.57142857,106.5714286,,
125,23.71428571,32.71428571,106.2857143,,
126,25,31.57142857,106.2857143,,
127,24.42857143,31.85714286,107,,
128,24.71428571,31.85714286,107.8571429,,
129,25.42857143,32,109.2857143,,
130,25.71428571,32,109.8571429,,
131,26,32.14285714,109.7142857,,
132,27.57142857,31,109.7142857,,
133,28.71428571,29.85714286,110.2857143,,
134,29.57142857,29.85714286,110.2857143,,
135,29.85714286,30.14285714,109.4285714,,
136,29.42857143,30,109.4285714,,
