[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count
1,100.1,52.8,48.3
2,101.6,55.1,46.1
3,102.4,57.2,43.8
4,104.7,60.7,41.7
5,105.8,64.3,38.7
6,107.9,67.3,37.5
7,109.4,71,35.8
8,109.3,74.3,35
9,108.1,78.1,34.2
10,106.6,82.3,33.7
11,104.2,86.4,33
12,104.1,89.9,31.7
13,105,93.6,31.5
14,104.2,98.6,30.4
15,104,83.3,29.7
16,104.4,85.5,29.1
17,103.6,88.7,28.3
18,103.9,91.8,27.3
19,104.5,95.2,26.5
20,103.2,97.1,26.5
21,104.8,100.9,26.7
22,106.9,103.6,25.9
23,108.3,107.2,26.2
24,106.1,110.7,26.2
25,105.6,113.8,26
26,106.9,116.6,26.8
27,107,120.1,27
28,107,124.5,27.4
29,105.1,127.7,27.7
30,104.8,122.5,28.7
31,104,124.8,27.1
32,102.8,127.4,26.6
33,102.4,130.2,25.3
34,102.5,132.8,24.8
35,100.5,138.1,23.8
36,99.3,142.2,23.8
37,98.7,145.7,23.5
38,98,150.3,23.5
39,93.6,153.6,23.6
40,93.2,157.7,23.7
41,83,161.7,23.5
42,81.3,165.2,23.7
43,78.3,166.5,23.8
44,76,171.4,23.4
45,74.5,170.4,24
46,72.5,174.4,24.3
47,70.9,179.3,24.5
48,69.1,182.7,23.7
49,67.6,186,24.4
50,64.5,186.8,25
51,60,191.3,25.5
52,58.1,195.3,25.5
53,56.6,197.4,26
54,54.6,199.8,26.5
55,52,202.7,27.2
56,49.5,205.7,27.5
57,47.1,210.8,27.7
58,45.7,216.5,28.2
59,44.4,218.3,28.7
60,43,216.6,29.6
61,41.5,220.2,30.5
62,39.9,221.7,31
63,37.8,224.2,31
64,36.8,227.1,31
65,33.6,229.9,31.4
66,31.6,230.6,31.9
67,29.2,229.6,31.8
68,26.6,228.9,32.1
69,24.9,230.8,32.9
70,24.3,231.7,33.3
71,23.4,231,33.3
72,22.3,230.9,34.1
73,22,230.3,35.8
74,21.6,229.2,36.1
75,20.4,223.8,36.3
76,19.5,219.8,36.9
77,18.9,216.7,36.8
78,18.1,215.9,37.3
79,17,213.7,38.2
80,16.6,214.9,39.1
81,15.6,212.9,39.9
82,15.3,211.8,39.8
83,14.6,210.9,40.8
84,14,209.7,42
85,13.1,208.2,43.1
86,11.6,205.6,44.2
87,10.7,203.4,44.8
88,9,198.9,45.4
89,8.5,195.6,46.4
90,7.8,190.4,46.9
91,7.4,189.4,48.2
92,6.9,189.4,48.5
93,6.5,187.2,48.9
94,5.9,184.5,49.1
95,5.8,179.7,50
96,5.6,178.2,50.9
97,5.7,177.4,51.2
98,5,175.4,51.8
99,5,172.5,52.3
100,4.8,169.2,52.8
101,4.6,167.9,53.6
102,4.1,163.7,54.3
103,3.8,162.7,56.3
104,3.9,162.7,57.4
105,3.8,158.5,57.6
106,3.7,157,59
107,3.6,153.9,60.1
108,3.4,151.1,59.8
109,3.2,148.3,60.4
110,3.4,144.7,62.4
111,3.4,139.8,63.1
112,3.1,134.6,63.4
113,3,131.4,63.5
114,3.4,127.7,63.8
115,3.5,123.6,64.3
116,3.5,120.7,64.8
117,3.6,116.8,65.1
118,3.7,112.6,65.4
119,3.7,108.1,65.9
120,3.4,103.7,66.6
121,3.3,101.2,68.2
122,3.3,99.1,68.9
123,3.5,96.7,69.7
124,3.6,94.1,70.2
125,3.8,91,70.3
126,3.7,88.5,70.6
127,4,88.3,71.3
128,4,87,71.7
129,3.8,84.9,71.9
130,3.9,83,73
131,4.1,81.1,73.5
132,4.6,80.7,74.5
133,4.9,79.1,75.6
134,5.2,77.4,76.1
135,5.4,75.6,76.4
136,5.1,73.7,76.6
137,5.2,71.4,77.5
138,5.2,69.4,78.8
139,5.2,68.9,79.1
140,5.3,67.7,79.7
141,5.7,66.4,80
142,6,64.9,80.7
143,6.6,62.6,81
144,6.8,61.1,81.3
145,6.6,60.6,82.3
146,6.7,59,83.5
147,7,57.5,83.8
148,7.3,56.7,85.1
149,7.1,55,84.8
150,6.9,53.6,84.8
151,6.9,53.5,85.9
152,6.8,52.8,86.4
153,7.1,51.5,86.9
154,7.7,49.4,87.8
155,8,49.2,88.2
156,8.4,48.7,88.9
157,8.7,47.2,90.3
158,8.6,47,90.8
159,8.9,46.5,91.4
160,9.1,45.1,92.2
161,10,43.9,93.2
162,10.3,42.6,94.2
163,11.2,42.6,95
164,11.8,42.2,94.9
165,12.1,41.3,95.1
166,12.5,38.7,95.8
167,13,37.6,96.9
168,14,37.2,97.2
169,14.1,36.4,97.9
170,14.8,35,98.3
171,15.3,33.1,98.6
172,15.9,32.2,99.7
173,15.8,32.1,100.3
174,16.2,31.5,100.1
175,16.4,31,101.5
176,16.1,30.5,101.5
177,16.5,30.1,101.9
178,17.8,29.4,101.7
179,18.3,28.1,101.7
180,19.3,26.9,102
181,20.2,27.2,101.9
182,21.4,26.7,102.2
183,21.5,26.4,102.2
184,22.4,26.5,102.8
185,22.4,27.3,103
186,23.1,26.8,104.6
187,24.1,26.5,105.1
188,25.6,25.6,105.2
189,26.7,24.6,105.4
190,27.1,24.5,105.7
191,28.5,25.6,106
192,29.3,26,106.3
193,30.7,25.4,106.3
194,34.88888889,28.44444444,105.8888889
195,35.88888889,27.66666667,106.5555556
196,37,27,106.1111111
197,37.11111111,26.11111111,106.8888889
198,38.88888889,25.77777778,107.2222222
199,40,25,107.2222222
200,40.22222222,24.33333333,108.5555556
201,42.11111111,24.66666667,108.1111111
202,43.11111111,24.55555556,108.7777778
203,44.77777778,23.66666667,109.1111111
204,45.66666667,23,109.6666667
205,53.125,25.875,105.25
206,53.125,24.625,104.625
207,54.25,23.75,105.125
208,55.625,23.5,104.875
209,57.625,23.875,104.625
210,60.375,23.75,104.375
211,62.125,24.375,104.5
212,64.25,24.625,104.75
213,66.25,24.125,105.625
214,68.625,24.5,106
215,70.625,24.875,105.25
216,73.375,25.125,105.125
217,74.875,26.125,105.25
218,75.625,26.125,105.375
219,77.25,26.75,105.5
220,79.125,26.875,106.375
221,81.125,26.75,106.25
222,83,27.375,105.75
223,87,27.5,105
224,88.5,27.75,104.5
225,90.125,28,105.125
226,91.75,28.625,105.5
227,96.125,29,105.375
228,99.75,29.625,106.5
229,101,29.625,106.5
230,103.625,28.625,106.875
231,106.375,29.625,106.5
232,109.5,29.375,106.75
233,111.75,30.375,106.375
234,114.75,29.75,105.625
235,116.5,29.5,105.75
236,119.125,30,106.375
237,123.125,30.125,105.75
238,129.875,31.375,106.625
239,134.5,31.375,106
240,137.375,31.125,105.875
241,139.875,31,105
242,145.75,30.875,106.25
243,149.375,30.5,105.875
244,153.25,31.375,106.25
245,156.375,31.75,105.875
246,160.625,30.5,104.625
247,166.5,30,104.375
248,173.5,30,104.5
249,179.125,31,106
250,184.25,31.5,106.5
251,190.125,32.25,106.375
252,195.625,33.75,106.125
253,199.875,33.5,106.625
254,205.125,34,106.5
255,209.25,34.375,107.375
256,215.125,35,107.375
257,220.125,35.25,107.5
258,226,35.5,107.5
259,232.625,36.125,107.5
260,236.75,37.125,107.625
261,241.875,38.375,108.375
262,246.5,39,107.75
263,249.875,39.625,109.375
264,256.125,40.875,109.5
265,262.375,41,109.125
266,266,42,109.875
267,272.375,41.5,109.125
268,275.625,41.875,110.125
269,280.75,43.25,109.875
270,287.875,44.5,110
271,294.625,46.375,110.125
272,302.625,47.625,110.625
273,308.75,50.25,109.875
274,310.375,51.75,110.25
275,314.125,53.75,111
276,362.1428571,62.71428571,100.2857143
277,364.1428571,64.28571429,100.8571429
278,366.4285714,66.57142857,101
279,370.5714286,68.42857143,100.2857143
280,374.4285714,70.14285714,100
281,442,84.33333333,93
282,449.3333333,88.5,94.5
283,447.6666667,92.5,94.66666667
284,454.8333333,95.83333333,95.5
285,462,98.33333333,95.33333333
286,462.5,100.8333333,95.5
287,461.5,104.5,95.16666667
288,551.8,128.8,71.6
289,549.6,132.8,72
290,683.5,173.75,40.75
291,670.5,177.75,40.5
292,660.5,183.25,39.5
293,658.25,188.75,40.25
294,649.25,199.25,40.5
295,640.25,205.5,40
296,631.5,211.5,40.75
297,628.75,216,41
298,621.75,219.5,41.25
299,615.5,226.25,39.5
300,605,234.5,39.25
301,601,241.5,38.5
302,589.25,250.75,37.75
303,574.75,260.5,36.75
304,559.75,269.75,37
305,548.25,278.75,36.25
306,533,289.25,37
307,524.75,297,38.5
308,509.5,303,38.75
309,489,309,38.25
310,473.5,316.5,37.5
311,459.75,327.5,37.75
312,440.25,333.75,37.5
313,419.5,350.5,37
314,401,363.5,37.5
315,384,374,38
316,365.25,384.75,38
317,344,391.25,37.25
318,321.75,396.75,37.5
319,300.75,409.25,37.5
320,282.75,416.5,39
321,263.5,423.5,38
322,244.25,438,38.5
323,230.25,452,38.25
324,216.5,461,38.75
325,195.25,474.75,39
326,180.75,482.5,39.25
327,165.5,494.75,39.75
328,149.75,498.5,39.25
329,131.5,505.75,40.5
330,118.75,509.5,40.75
331,108.75,516.5,41.75
332,101.75,527.75,42.25
333,88.75,539.25,42.75
334,81.5,543.25,41.5
335,74.75,553.25,41.5
336,67.25,560.5,42.75
337,60.75,568.5,44
338,55.5,573.75,44.5
339,49.25,582.75,45.25
340,41.75,584.25,46.75
341,37,588,48
342,35,592.25,48.25
343,33.25,595,48
344,30.75,599,47.5
345,28.75,603.75,47.75
346,27.25,610.75,48.25
347,26,617.5,49.75
348,25,621.5,50.5
349,23.25,628.75,51
350,21.5,632.25,51.5
351,19.5,639.25,51.25
352,18.75,641,51.75
353,18,646.75,51.5
354,16.75,650.75,51.25
355,16.5,656,50.5
356,16,657.75,51.25
357,15,654.75,51.5
358,14.5,660.25,51.5
359,13.25,659,53
360,14.25,666,53.25
361,12.75,667.75,54
362,12.25,663,55.5
363,11.75,661.75,57
364,11.5,658.75,57
365,11.25,651.75,57.25
366,11,647.5,57
367,10.75,642.5,57.5
368,10.75,634.25,57.75
369,10.25,623.25,57.75
370,9.75,621.25,57.5
371,9,620.75,58
372,8.5,621.75,59.5
373,8.25,615.5,59.75
374,8.25,617.25,61
375,9,612.25,61
376,8.5,603.75,62.75
377,9,594.25,63.75
378,8.75,584,65.25
379,9.25,579.75,66
380,9.75,578.5,67
381,10,578.75,66.75
382,9.5,575.25,66.25
383,9,566.75,67.5
384,9.25,565,68
385,9.5,560.5,70
386,9,559.75,69.75
387,9,551.25,70
388,9,544.75,70.75
389,9,534.5,72
390,8.75,523.25,72.75
391,9,512.25,72.75
392,8.75,517.25,73.75
393,9,515.75,74.25
394,9,506.5,75.75
395,9.25,501.25,76.5
396,9.5,489.5,77.25
397,9.75,489.5,78.75
398,10.75,492,81.5
399,10.5,486.5,82.25
400,10.5,483.75,81.25
401,10.75,476,82.75
402,12,475,82.75
403,12.5,471.5,84.75
404,12.5,470.5,84.5
405,11.75,471.25,86.5
406,11.5,476,88.75
407,11,470.25,89.5
408,11.5,467.5,90.75
409,12.25,461.5,92
410,12.25,461,92.25
411,11.25,459.25,93
412,11.25,453.75,92.5
413,11,448.75,92.25
414,11.25,444,92.75
415,10.75,441.5,92
416,10.75,436.75,92.25
417,10.5,434,92
418,10.75,431,93.5
419,11,427.5,93.25
420,10.75,423.75,94
421,11.5,417.5,94.75
422,10.75,413.5,95.25
423,10.75,412.25,96.25
424,10,413.75,98.25
425,9.5,408.75,98
426,9.5,404.5,98
427,9.75,399.75,98.5
428,10,396.5,99.75
429,9.5,397.75,99.25
430,8.5,388.5,99.25
431,8.5,385.5,100
432,8,381,100.5
433,7.75,379,100.5
434,7.25,370.25,101
