[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count
1,30.1,30.2,22.1
2,30.4,30.5,24.4
3,30.6,30.8,26.6
4,30.8,31,28.4
5,31,31.4,31.2
6,30.8,31.5,33.3
7,31.5,31.8,34.9
8,31.2,32.6,37
9,31.2,32.9,38.4
10,31.2,33.2,40.1
11,31.1,33.4,41.8
12,30.7,33.6,43.3
13,30,33.7,45.3
14,30,34.3,47.2
15,29.6,34.6,48
16,30,34.8,49.7
17,30,35.4,51.7
18,29.8,35.7,53.7
19,29.1,36.3,54.8
20,29.8,36.8,56.6
21,29.4,37.1,59.1
22,29,37.2,60.4
23,29.1,37.4,61.9
24,29.1,37.9,63.6
25,29.3,38.3,65.3
26,29.7,38.6,66.7
27,29.7,38.9,68.3
28,29.6,39.3,70.1
29,29.1,40.1,71
30,28.5,40.4,72.7
31,28.7,41.4,74
32,29.3,41.7,75.3
33,29.7,42,77.4
34,29.6,42.6,78.3
35,29.4,42.7,79.8
36,29.2,43,81.2
37,29.3,43.4,82.3
38,29.8,43.9,83.1
39,29.9,44.2,84.1
40,29.8,44.8,85.6
41,30,45.3,86.8
42,29.8,45.8,87.9
43,28.9,46.8,88.7
44,28.6,47.5,89.8
45,28.4,47.8,90.6
46,28.2,48.4,92.4
47,28.3,48.8,93.5
48,28.6,49.2,94.8
49,28.4,49.6,96.8
50,28,50.3,98.4
51,27.8,50.6,99.5
52,27.4,51,101.1
53,27.5,51.3,102.4
54,26.8,51.9,103.6
55,27,52.3,104.8
56,27,52.9,105.7
57,26.8,53.5,106.9
58,26.2,53.9,107.7
59,26.3,54.6,108.9
60,25.7,42,109.4
61,25.9,42.3,110.5
62,26.1,42.8,111.5
63,26,42.8,112.7
64,24.5,43.3,113.1
65,24.8,43.4,114.3
66,24.1,44.1,115.7
67,24.1,44.1,117
68,22.4,35.5,118.3
69,22.6,35.6,119.9
70,22.4,35.9,120.9
71,22.5,36,122.1
72,21.8,36,123.4
73,21.4,36.3,125
74,21.3,36.2,126.9
75,20.9,36.5,129
76,20.2,31.4,130.1
77,20.1,31.2,131.5
78,20.6,31,132.8
79,20.4,30.8,134.6
80,20.1,31,136.4
81,19.6,31,138.8
82,20,31.2,140.1
83,20.4,31.2,141.7
84,20,29.3,142.5
85,20.2,28.9,143.6
86,20.3,28.7,145.5
87,20.9,28.8,146.1
88,21.1,28.6,147.6
89,20.9,28.2,149
90,20.6,28.2,150.1
91,21.2,27.8,151.3
92,21.6,26.6,152
93,21.5,26.6,153.9
94,21.7,26.4,155
95,21.2,26.6,156.3
96,20.4,26.5,157.5
97,20.3,26.1,158.9
98,20.4,25.9,160.3
99,20.7,25.9,160.3
100,20.7,25.6,160.9
101,20.4,25.3,162.1
102,20.2,25.1,163.5
103,20.2,24.4,164.3
104,19.9,24.4,165.9
105,19.6,24.3,166.9
106,19.9,23.9,168.3
107,20,23.7,170
108,19.5,23.3,170.9
109,19.1,23.1,172.2
110,19.2,22.2,173.5
111,19.5,21.7,174.8
112,19.7,21.1,176.7
113,20,20.9,177.4
114,20.7,20.6,178.9
115,20.9,20.4,179.8
116,21.4,19.6,180.2
117,21.5,19.2,181.3
118,21.8,18.8,182.1
119,22,18.4,182.8
120,22.1,18.3,183.1
121,22.2,18.5,184.5
122,22.1,17.9,185.9
123,22.3,17.5,186.3
124,22.3,17.1,187.9
125,23.1,17,188.5
126,23.2,16.5,189.6
127,23.1,16.1,190.1
128,23.2,16,191.1
129,23.3,16,191.8
130,23.6,15.4,192.3
131,23.7,15.2,192.3
132,23.9,14.9,193.8
133,23.9,14.3,194.2
134,24.3,14,194.9
135,24.3,13.5,194.3
136,24.4,13.3,194.8
137,24.5,13.3,194.5
138,24.5,13.1,195.2
139,24.5,13,195.7
140,24.9,12.8,196
141,25.2,12.7,196
142,25.1,12.2,196.4
143,25.3,12.1,197.1
144,25.6,11.8,197.2
145,25.8,11.3,197
146,26.1,11.6,197.4
147,26.8,11.5,197.4
148,26.6,11.2,198.1
149,27.3,11.4,197.8
150,27.7,11.5,198.9
151,28.4,11.4,198.6
152,28.9,11.1,199.3
153,29.3,11.1,199.6
154,29.6,11.1,199.8
155,30.3,10.7,199.7
156,30.9,10.6,199.3
157,30.8,10.4,199.4
158,30.8,10.2,199.7
159,30.7,9.8,200.2
160,31.1,9.5,200.1
161,31.6,9.5,199.5
162,32,9.6,199
163,32.2,9.6,199.1
164,32.1,9.3,199.6
165,32.7,9.3,200.3
166,33.4,9,199.9
167,33.8,8.9,200.7
168,34.1,8.9,200.9
169,34.3,8.8,201.7
170,34.4,8.7,202.8
171,35,8.7,202.7
172,35,8.8,202.8
173,35.6,8.7,203.4
174,35.2,8.6,202.1
175,35.8,8.5,201.5
176,35.8,8.4,202
177,36,8.3,201.7
178,35.9,8.3,201.7
179,36.4,8.2,201.5
180,36.7,8.3,202
181,37.4,8.1,202
182,37.3,8,201.9
183,38,8,200.9
184,38.7,7.6,201.3
185,38.4,7.6,201.4
186,38.5,7.4,201.3
187,38.6,7.6,201.4
188,38.6,7.7,200.2
189,38.8,7.3,200
190,39.5,7.2,201
191,39.8,7.1,201.3
192,40.2,6.8,201.6
193,40.2,6.8,201.7
194,41,7,201.6
195,41.2,7.2,201.8
196,41.6,7,202.1
